Item number;Preferred delivery date;Quantity;Invoiced quantity
ZD4A042-D0EE00EZ;12-03-2026;200;40
ZD4A042-D0EM00EZ;12-03-2026;140;40
ZD4A042-30EM00EZ;20-03-2026;60;60
ZT23143-T0E000FZ;20-03-2026;50;50
ZT41142-T0E0000Z;20-03-2026;20;20
ZT41142-T2E0000Z;20-03-2026;16;16
ZT41143-T0E0000Z;20-03-2026;10;10
ZT42162-T0E0000Z;20-03-2026;10;0
ZT42163-T0E0000Z;20-03-2026;4;4
DS2208-SR7U2100AZW;17-04-2026;350;350
DS4608-SR7U2100AZW;17-04-2026;80;80
ZD4A042-30EE00EZ;17-04-2026;60;60
ZD4A042-D0EE00EZ;17-04-2026;100;0
ZD4A042-D0EM00EZ;17-04-2026;220;0
ZD4A043-30EM00EZ;17-04-2026;12;12
ZT23143-T0E000FZ;17-04-2026;20;20
ZT41142-T0E0000Z;17-04-2026;20;20
ZT42162-T0E0000Z;17-04-2026;24;0
C31CK50152;25-05-2026;200;143
LI4278-TRBU0100ZER;15-07-2026;300;0
ZT23142-T0E000FZ;15-07-2026;50;0
ZT41142-T0E0000Z;15-07-2026;50;0
C31CK50152;12-06-2026;89;0
ZD4A042-30EM00EZ;18-06-2026;100;0
ZD4A042-30EE00EZ;18-06-2026;80;0
C31CK50152;26-06-2026;300;0
C31CK50152;15-06-2026;240;0
C31CK50152;30-06-2026;160;38
C31CH51011;13-08-2026;200;0
C31CJ57112;13-08-2026;200;0
DELL-WD19S130W;15-07-2026;150;0
DELL-WD19S180W;15-07-2026;250;0
DELL-WD22TB4;15-07-2026;20;0
DELL-WD19TB;15-07-2026;40;0
DELL-WD19DCS;15-07-2026;20;0
C31C163272;15-07-2026;6;6
C31CD38032;15-07-2026;10;0
C31CD54012CD;15-07-2026;7;7
C31CJ99101;15-07-2026;14;14
DS2208-SR7U2100AZW;10-07-2026;200;0
DS2278-SR7U2100PRW;10-07-2026;168;0
DS4608-SR7U2100AZW;10-07-2026;100;0
C31CK50152;29-07-2026;300;100
DS3678-HP3U42A0SFW;24-07-2026;6;0
DS4608-SR7U2100SGW;24-07-2026;24;0
LI3678-SR3U42A0S1W;24-07-2026;24;0
DS3678-SR0F003VZWW;03-08-2026;8;0
DS3678-SR3U42A0SFW;03-08-2026;36;0
ZD4A042-D0EW02EZ;07-08-2026;12;0
ZD4A043-30EE00EZ;07-08-2026;60;0
ZD4A043-30EM00EZ;07-08-2026;20;0
ZT42163-T0E0000Z;07-08-2026;6;0
ZT51042-T0E0000Z;07-08-2026;2;0
ZD4A042-30EX02EZ;07-08-2026;20;0
ZD4A022-D0EE00EZ;07-08-2026;60;0
C31C163272;23-07-2026;22;22
C31CD54012CD;23-07-2026;16;16
C31CK00131;23-07-2026;20;10
C31CL47102;23-07-2026;50;50
C31CJ57112A0;23-07-2026;5;5
C31CL47101;23-07-2026;20;20
105999-310-01;23-07-2026;5;5
ZD4A043-D0EE00EZ;;20;0
ZD6A043-30EF00EZ;;20;0
1200G-2USB-1;;180;0
GD4620-HCK1-HD;29-07-2026;20;20
GD4690-BK-HP;29-07-2026;20;20
GBT4600-BK-BTK1-HP;29-07-2026;10;10
HD3130-BKK1B;29-07-2026;20;20
HD3130-BKK1S;29-07-2026;10;10
HD3130-BK;29-07-2026;20;14
GBT4500-BK-WLC;29-07-2026;10;0
QBT2131-BK-BTK1;29-07-2026;50;0
QBT2101-BK-BTK+;29-07-2026;10;1
QD2590-BKK1B;29-07-2026;40;40
QW2520-BKK1;29-07-2026;60;60
TD1120-BK-90;29-07-2026;20;20
TD1130-BK-90;29-07-2026;20;20
WCMTB-T27B6ABC2-A6;29-07-2026;40;0
WLMT0-T22B6CBC2-A6;29-07-2026;9;0
ZD4A022-T0EE00EZ;05-08-2026;13;0
CBA-U21-S07ZBR;05-08-2026;115;0
99999;05-08-2026;1;0
DS2278-SR7U2100PRW;12-08-2026;120;0
DS3678-ER2F003VZWW;12-08-2026;20;0
DS3678-SR3U42A0SFW;12-08-2026;24;0
ZD4A042-30EW02EZ;12-08-2026;20;0
ZT23143-T0E000FZ;12-08-2026;10;0
ZT41142-T2E0000Z;12-08-2026;8;0
ZT41146-T0E0000Z;12-08-2026;2;0
ZT42162-T2E0000Z;12-08-2026;2;0
ZT51042-T0E0000Z;12-08-2026;2;0
CBA-U21-S07ZBR;12-08-2026;100;0
C31CJ57112;31-07-2026;20;0
C31CJ57132;31-07-2026;5;0
C31CK00121;31-07-2026;20;0
C31CK50112;31-07-2026;60;0
C31CK50151;31-07-2026;30;0
LI3608-SR3U4600VZW;31-07-2026;1;0
PC45T000000200;31-07-2026;14;0
ZQ62-AUXAEC4-00;31-07-2026;1;0
C31CJ57112;30-07-2026;40;0
R2H28A;07-08-2026;40;0
Q9H62A;07-08-2026;40;0
WCMTB-T27B6ABC2-A6;31-07-2026;8;0
C31CL47102;31-07-2026;200;0
1301086;31-07-2026;8;0
99999;31-07-2026;1;0
