Product no.;Product Name;Available;Purchased;EAN;Image URL;Manufacturer;Product Category;Sales price (EUR)
DELL-WD19TBS;Dell Thunderbolt Dock WD19TBS-180W- EAN:5397184513996;70;0;5397184513996;https://live-html.icecat.biz/4aaa40b5594bcb9adf4c1c5c589f803b/media/6afc503a-c89d-4a9b-83d2-f93859270909.jpg;Dell;Docking Station;400
DELL-WD19TB;Dell Thunderbolt Dock WD19TB (210-ARJD)-180W- EAN:5397184187197;0;40;5397184187197;https://live-html.icecat.biz/b3a85fe5b042031967d177cf46538295/media/img-01.jpg;Dell;Docking Station;424
DS2208-SR7U2100SGW;Zebra DS2208, 2D, multi-IF, kit (USB), black;194;0;5711783381266;;Zebra;Barcode Scanner;128
DS3678-SR3U42A0SFW;Zebra DS3678-SR, BT, 2D, SR, multi-IF, FIPS, kit (USB), black, green;-22;60;5711783927136;;Zebra;Barcode Scanner;890
DS4608-SR7U2100SGW;Zebra DS4608, 2D, SR, USB, RS232, kit (USB), black;61;24;5704174084235;;Zebra;Barcode Scanner;188
R2H28A;HPE Aruba AP-505 RW Unified AP;0;40;190017357997;;HPE;Network Accessories;430
GM4500-BK-433K1;"Datalogic Gryphon Barcode;Scanner Kit GM4500";100;0;5706998646071;;Datalogic;Barcode Scanner;430
QD2590-BKK1;Datalogic QuickScan QD2590 2D USB-Kit black;79;0;5704174529378;;Datalogic;Barcode Scanner;120
DS9308-SR4U2100AZE;Zebra DS9308-SR Barcode Scanner Kit;60;0;5704174202202;;Zebra;Barcode Scanner;180
DS3678-ER3U42A2SVW;Zebra DS3678-ER Barcode Scanner Kit;46;0;8596375044951;;Zebra;Barcode Scanner;1100
LI3678-ER3U42A0S1W;Zebra LI3678-ER, 1D, Bluetooth, Kit (USB);11;0;8596375060654;;Zebra;Barcode Scanner;860
LI4278-TRBU0100ZER;Zebra LI4278 BT 1D multi-IF kit (USB) black;144;300;5711045427138;;Zebra;Barcode Scanner;296
QBT2131-BK-BTK1;Datalogic QuickScan QBT2131 - 1D linear imager - Bluetooth wireless - Black - kit, USB/base;0;50;5712505605318;;Datalogic;Barcode Scanner;236
ZT41142-T0E0000Z;Zebra ZT411 Industrial Direct Thermal/Thermal Transfer Printer;0;50;5704174016045;;Zebra;Label Printer;1720
DS2278-SR7U2100PRW;Zebra DS2278, BT, 2D, multi-IF, kit (USB), black;-39;288;4060533180224;;Zebra;Barcode Scanner;284
DS2208-SR7U2100AZW;Zebra DS2208 Corded Handheld 1D/2D Imager Barcode Scanner;-93;200;5711783381228;;Zebra;Barcode Scanner;122
ZD6A042-D0EF00EZ;Zebra ZD621 TD 203dpi Ethernet Printer;10;0;5704174535836;;Zebra;Label Printer;710
ZD6A043-30EF00EZ;Zebra ZD621 TT 300dpi Ethernet Printer;-18;20;5704174524434;;Zebra;Label Printer;890
J9827A;HPE Aruba 5400R zl2 Management Module;18;0;888182309087;;HPE;Network Accessories;730
Q9H62A;HPE Aruba AP-515 Access Point;-2;40;190017273624;;HPE;Network Accessories;730,66
ZD4A042-30EM00EZ;Zebra ZD421T DT/TT 203 dpi USB/WiFi/BT/ USB;-49;100;5704174529453;;Zebra;Label Printer;500
ZT23143-T0E000FZ;Zebra ZT231 TT 300dpi Ethernet Printer;10;10;5715063061879;;Zebra;Label Printer;1330
ZD4A042-30EE00EZ;Zebra ZD421 TT 203dpi ET BT Printer;-54;80;5704174474982;;Zebra;Label Printer;584
03X7538;Lenovo ThinkPad Thunderbolt 3 Dock Gen2 DOCK ONLY NO PS(40AN0135EU);3;0;5704174262077;;Lenovo;Docking Station;100
DS2208-SR00007ZZWW;Zebra DS2208, 2D, multi-IF, black;176;0;5706998549310;;Zebra;Barcode Scanner;128
C31CK50112;EPSON TM-M30III Thermal POS Printer 203 x 203 DPI;47;0;8715946703947;;Epson;Receipt Printer;356
C31CJ57112;EPSON TM-T88VII (112) USB/Ethernet/Seriel;-204;240;8715946697093;;Epson;Receipt Printer;480
QM2131-BK-433K1;Datalogic QuickScan I QM2131, 1D, multi-IF, kit;49;0;5712505522110;;Datalogic;Barcode Scanner;220
QW2520-BKK1;Datalogic QW2520 - 2D Wired Barcode Scanner;39;0;5704174882244;;Datalogic;Barcode Scanner;90
GBT4500-BK-BTK1;Datalogic Gryphon I GBT4500, Scanner, 1D/2D, Kit;73;0;5706998728340;;Datalogic;Barcode Scanner;460
DS7708-SR4U2100ZCW;Zebra DS7708 Vertical 1D/2D Scanner;10;0;5711783351795;;Zebra;Barcode Scanner;360
ZD4A042-D0EE00EZ;Zebra ZD421 DT 203dpi USB/Ethernet/BT (BLE)/USB;-100;260;5704174463757;;Zebra;Label Printer;550
DS4608-SR7U2100AZW;Zebra DS4608, 2D, SR, USB, RS232, kit (USB), black;5;100;5704174084211;;Zebra;Barcode Scanner;188
C31CH51011;Epson Receipt Printer TM-T20III USB/Serial;-210;200;8715946669649;;Epson;Receipt Printer;236
1400G2D-2USB-1;Honeywell Voyager 1400g, Scanner, USB, 1D/2D;1;0;5711045754609;;Honeywell;Barcode Scanner;104,08
ZT23142-T0E000FZ;Zebra ZT231 TT 203dpi Ethernet Printer;-10;50;5715063012918;;Zebra;Label Printer;970
ZT41143-T0E0000Z;Zebra ZT411 TT 300dpi Ethernet Printer;2;0;8596375235366;;Zebra;Label Printer;1940
